,Name,Homepage
0,NLOGIC AS,www.nlogic.no
0,NORGESGRUPPEN DATA AS,www.norgesgruppen.no
0,NORIA AS,www.noria.no
0,NORKART AS,Not Available
0,NORTHERN BEAT AS,www.northernbeat.no
0,NOVANET AS,www.novanet.no
0,NTT DATA BUSINESS SOLUTIONS AS,www.itelligence.no
0,ODA GROUP SERVICES AS,Not Available
0,OMEGAPOINT NORGE AS,www.itverket.no
0,OPERA NORWAY AS,Not Available
0,PAPIRFLY AS,www.brandmaster.com
0,PAYEX NORGE AS,Not Available
0,PEXIP AS,Not Available
0,PISTACHIO AS,Not Available
0,POINT TAKEN AS,www.pointtaken.no
0,PORTALONE AS,Not Available
0,PRECIS DIGITAL AS,www.precisdigital.com
0,PROCANO AS,procano.com
0,PROMON AS,www.promon.no
0,REFINITIV NORGE AS,Not Available
0,REMARKABLE AS,remarkable.com
0,RIGHT AS,www.rightgroup.no
0,RIKSTV AS,www.rikstv.no
0,RIVERTY GROUP NORWAY AS,Not Available
0,SCHIBSTED MEDIA PRODUCTS & TECHNOLOGY AS,schibsted.com
0,SCHIBSTED NORGE SMB AS,Not Available
0,SCHIBSTED PRODUCTS & TECHNOLOGY AS,www.schibsted.no
0,SD WORX NORWAY AS,www.sdworx.no
0,SECTOR ALARM TECH AS,Not Available
0,SEEBRITE RETAIL AS,Not Available
0,SENSIO AS,Not Available
0,SHORTCUT AS,www.shortcut.no
0,SIKRI AS,Not Available
0,SITECOM AS,Not Available
0,SOCO NORGE AS,www.soco.no
0,SONITOR TECHNOLOGIES AS,Not Available
0,SONY MUSIC ENTERTAINMENT NORWAY AS,Not Available
0,SOPRA STERIA AS,www.soprasteria.no
0,SPACE NORWAY AS,Not Available
0,SPOND AS,Not Available
0,SQUAREHEAD TECHNOLOGY AS,Not Available
0,STEP SOLUTIONS AS,Not Available
0,STIFTELSEN LOVDATA,Not Available
0,STRISE AS,Not Available
0,SYSTEK AS,www.systek.no/
0,TALENTECH AS,Not Available
0,TECH MAHINDRA NORWAY AS,Not Available
0,TECHFOLK AS,Not Available
0,TECHSTEP NORWAY AS,www.techstep.no
0,THALES NORWAY AS,thales.no
0,THE CLOUD PEOPLE AS,www.thecloudpeople.com/
0,THE QT COMPANY AS,Not Available
0,TIDAL MUSIC AS,www.wimpmusic.com
0,TRIFID NORGE AS,Not Available
0,TRY DIG AS,Not Available
0,TV 2 SKOLE AS,Not Available
0,TWODAY ANALYTICS AS,Not Available
0,TWODAY AS,www.twoday.no
0,UTILITYCLOUD AS,altere.no
0,VARIANT OSLO AS,Not Available
0,VILLOID AS,Not Available
0,VINCE AS,www.vince.no
0,VISMA FLYT AS,Not Available
0,VISMA REAL ESTATE AS,Not Available
0,VISMA SOFTWARE AS,Not Available
0,VIVALDI TECHNOLOGIES AS,Not Available
0,WANDA GROUP AS,Not Available
0,WEBSTEP AS,www.webstep.no
0,WIOSS WITRON ON SITE SERVICES GMBH,Not Available
0,WOLT NORWAY AS,www.wolt.com
0,XPLORA TECHNOLOGIES AS,Not Available
0,ZENITEL NORWAY AS,www.zenitel.com
0,ZETADISPLAY NORWAY AS,www.prontotv.no
0,ZIVID AS,www.zivid.com
0,COMPENDIA AS,www.compendia.no
0,DEVOTEAM AS,Not Available
0,ENTUR AS,Not Available
0,HALOGEN AS,www.halogen.no
0,HEWLETT-PACKARD NORGE AS,www.hpe.no
0,INMETA CONSULTING AS,www.inmeta.no
0,LINK MOBILITY GROUP AS,www.linkmobility.com
0,MOTOROLA SOLUTIONS NORWAY AS,www.motorola.com/no
0,NOA IGNITE AS,Not Available
0,POLITIETS IT-ENHET,www.politiet.no
0,SUPEROFFICE NORGE AS,Not Available
0,TWODAY CONCEPTOS AS,www.conceptos.no
0,ORANGE BUSINESS DIGITAL NORWAY AS,www.digital.orange-business.com
0,KAHOOT! AS,www.kahoot.com
0,SCELTO AS,Not Available
0,MEDIACONNECT AS,www.mediaconnect.no
0,MOLENDO AS,Not Available
0,TIKTOK NORWAY AS,Not Available
0,PLYO AS,plyo.io
